design,k,hits,misses
compliant,0,0,0
compliant,1,1,0
compliant,2,2,0
compliant,3,2,1
compliant,4,3,1
compliant,5,4,1
compliant,6,5,1
compliant,7,6,1
compliant,8,7,1
compliant,9,8,1
compliant,10,9,1
compliant,11,10,1
compliant,12,11,1
compliant,13,12,1
compliant,14,12,2
compliant,15,12,3
compliant,16,12,4
compliant,17,13,4
compliant,18,14,4
compliant,19,14,5
compliant,20,15,5
compliant,21,16,5
compliant,22,16,6
compliant,23,17,6
compliant,24,18,6
compliant,25,19,6
compliant,26,20,6
compliant,27,20,7
compliant,28,21,7
compliant,29,21,8
compliant,30,22,8
compliant,31,23,8
compliant,32,24,8
compliant,33,25,8
compliant,34,26,8
compliant,35,27,8
compliant,36,28,8
compliant,37,29,8
compliant,38,30,8
compliant,39,31,8
compliant,40,32,8
compliant,41,33,8
compliant,42,34,8
compliant,43,34,9
compliant,44,35,9
compliant,45,35,10
compliant,46,36,10
compliant,47,37,10
compliant,48,37,11
compliant,49,38,11
compliant,50,39,11
compliant,51,39,12
compliant,52,40,12
compliant,53,41,12
compliant,54,42,12
compliant,55,43,12
compliant,56,44,12
compliant,57,45,12
compliant,58,46,12
compliant,59,47,12
borderline,0,0,0
borderline,1,0,1
borderline,2,1,1
borderline,3,2,1
borderline,4,2,2
borderline,5,2,3
borderline,6,3,3
borderline,7,3,4
borderline,8,3,5
borderline,9,3,6
borderline,10,4,6
borderline,11,4,7
borderline,12,4,8
borderline,13,5,8
borderline,14,5,9
borderline,15,6,9
borderline,16,6,10
borderline,17,6,11
borderline,18,7,11
borderline,19,7,12
borderline,20,8,12
borderline,21,8,13
borderline,22,8,14
borderline,23,8,15
borderline,24,9,15
borderline,25,10,15
borderline,26,11,15
borderline,27,12,15
borderline,28,13,15
borderline,29,14,15
borderline,30,15,15
borderline,31,16,15
borderline,32,16,16
borderline,33,16,17
borderline,34,16,18
borderline,35,17,18
borderline,36,17,19
borderline,37,18,19
borderline,38,18,20
borderline,39,18,21
borderline,40,18,22
borderline,41,18,23
borderline,42,19,23
borderline,43,20,23
borderline,44,20,24
borderline,45,20,25
borderline,46,20,26
borderline,47,20,27
borderline,48,20,28
borderline,49,21,28
borderline,50,21,29
borderline,51,21,30
borderline,52,22,30
borderline,53,23,30
borderline,54,24,30
borderline,55,24,31
borderline,56,24,32
borderline,57,24,33
borderline,58,25,33
borderline,59,26,33
noncompliant,0,0,0
noncompliant,1,0,1
noncompliant,2,0,2
noncompliant,3,0,3
noncompliant,4,0,4
noncompliant,5,0,5
noncompliant,6,0,6
noncompliant,7,0,7
noncompliant,8,0,8
noncompliant,9,1,8
noncompliant,10,1,9
noncompliant,11,1,10
noncompliant,12,1,11
noncompliant,13,1,12
noncompliant,14,1,13
noncompliant,15,1,14
noncompliant,16,1,15
noncompliant,17,1,16
noncompliant,18,1,17
noncompliant,19,1,18
noncompliant,20,1,19
noncompliant,21,1,20
noncompliant,22,1,21
noncompliant,23,2,21
noncompliant,24,2,22
noncompliant,25,2,23
noncompliant,26,2,24
noncompliant,27,2,25
noncompliant,28,2,26
noncompliant,29,2,27
noncompliant,30,2,28
noncompliant,31,2,29
noncompliant,32,2,30
noncompliant,33,2,31
noncompliant,34,2,32
noncompliant,35,2,33
noncompliant,36,2,34
noncompliant,37,2,35
noncompliant,38,2,36
noncompliant,39,2,37
noncompliant,40,2,38
noncompliant,41,2,39
noncompliant,42,2,40
noncompliant,43,2,41
noncompliant,44,2,42
noncompliant,45,2,43
noncompliant,46,2,44
noncompliant,47,2,45
noncompliant,48,2,46
noncompliant,49,2,47
noncompliant,50,2,48
noncompliant,51,2,49
noncompliant,52,2,50
noncompliant,53,3,50
noncompliant,54,3,51
noncompliant,55,3,52
noncompliant,56,3,53
noncompliant,57,3,54
noncompliant,58,3,55
noncompliant,59,3,56
