k,width_informed,width_uninformed
0,0.2662,0.95
1,0.2626,0.8293
2,0.2594,0.7386
3,0.2559,0.6681
4,0.2528,0.618
5,0.2498,0.5762
6,0.2467,0.5409
7,0.244,0.5138
8,0.2413,0.4889
9,0.2389,0.4691
10,0.2364,0.4509
11,0.2339,0.4344
12,0.2314,0.4189
13,0.229,0.405
14,0.2268,0.3938
15,0.2246,0.3823
16,0.2226,0.3725
17,0.2206,0.3631
18,0.2187,0.3547
19,0.2166,0.3461
20,0.2146,0.3386
21,0.2129,0.3317
22,0.211,0.3248
23,0.2092,0.3184
24,0.2075,0.3126
25,0.2059,0.3073
26,0.2042,0.3019
27,0.2025,0.2964
28,0.2009,0.2914
29,0.1994,0.2869
30,0.1979,0.2827
