sim,n_uas,comms_level,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000001,0,0,0.016666666666666666,0.016666666666666666,1780.24,614.4,3.9566666666666666,0.13333333333333333,0.043333333333333335,0.04,0.9891666666666666,0.02222222222222222,0.03472222222222222,388.85,0.00549820529243642,300,342
sim-000002,0,1,0.02,0.02,1776.2766666666666,613.8333333333334,3.953333333333333,0.10666666666666667,0.04666666666666667,0.043333333333333335,0.9883333333333333,0.017777777777777778,0.03,382.4533333333333,0.003880619153123219,300,642
sim-000003,0,2,0.016666666666666666,0.016666666666666666,1780.27,616.2,3.966666666666667,0.12666666666666668,0.03333333333333333,0.03333333333333333,0.9916666666666667,0.02111111111111111,0.034166666666666665,400.0,0.005815653669862716,300,942
sim-000004,0,3,0.013333333333333334,0.013333333333333334,1784.2266666666667,617.0,3.966666666666667,0.14666666666666667,0.03333333333333333,0.03,0.9916666666666667,0.02444444444444444,0.03888888888888889,379.1933333333333,0.004924201537958679,300,1242
sim-000005,0,4,0.01,0.01,1788.1266666666668,612.6666666666666,3.97,0.12333333333333334,0.03,0.03,0.9925,0.020555555555555553,0.03222222222222222,405.19,0.004751115280999828,300,1542
sim-000006,0,5,0.01,0.01,1788.1733333333334,617.3333333333334,3.973333333333333,0.12,0.02666666666666667,0.023333333333333334,0.9933333333333333,0.02,0.03333333333333333,396.00666666666666,0.004196528845764351,300,1842
sim-000007,1,0,0.15333333333333332,0.15333333333333332,1618.0833333333333,613.5869565217391,3.6133333333333333,2.316666666666667,1.3866666666666667,0.31,0.7226666666666666,0.3861111111111111,0.8016666666666666,1618.0833333333333,0.1216449216293722,300,2142
sim-000008,1,1,0.18,0.18,1586.7166666666667,615.0925925925926,3.54,2.32,1.46,0.38333333333333336,0.708,0.38666666666666666,0.8286111111111111,1586.7166666666667,0.11779507810030655,300,2442
sim-000009,1,2,0.14333333333333334,0.14333333333333334,1630.2266666666667,615.5348837209302,3.6433333333333335,2.16,1.3566666666666667,0.30333333333333334,0.7286666666666666,0.36,0.7325,1630.2266666666667,0.1273381757265104,300,2742
sim-000010,1,3,0.17,0.17,1598.5433333333333,614.9607843137255,3.56,2.14,1.44,0.35,0.7119999999999999,0.3566666666666667,0.7905555555555556,1598.5433333333333,0.11561778359871186,300,3042
